ID,Name,Tags,Services,Availability,Description,Alternates,Keywords,Warnings
T2M,Temperature at 2 Meters,"official,nrt,meteorology","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The average air (dry bulb) temperature at 2 meters above the surface of the earth.,"Dry Bulb Temperature at 2 Meters,Near-Surface Air Temperature,Ambient Temperature,Outdoor Air Temperature,Screen-Level Temperature","Dry Bulb Temperature at 2 Meters,Near-Surface Air Temperature,Ambient Temperature,Outdoor Air Temperature,Screen-Level Temperature,Surface Temperature,Temperatures,Temperature/Thermal IR Flux",
ALLSKY_SFC_SW_DWN,All Sky Surface Shortwave Downward Irradiance,"official,nrt,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology","The total solar irradiance incident (direct plus diffuse) on a horizontal plane at the surface of the earth under all sky conditions. An alternative term for the total solar irradiance is the ""Global Horizontal Irradiance"" or GHI.","Global Horizontal Irradiance (GHI),Insolation,Incoming Solar Radiation,Global Solar Radiation,Total Horizontal Solar Radiation,Hemispherical Solar Irradiance,Total Surface Solar Radiation","Global Horizontal Irradiance (GHI),Insolation,Incoming Solar Radiation,Global Solar Radiation,Total Horizontal Solar Radiation,Hemispherical Solar Irradiance,Total Surface Solar Radiation,Solar,Parameters for Solar Cooking,Parameters for Tilted PV Panels,Solar Fluxes and Related",
RH2M,Relative Humidity at 2 Meters,"official,nrt,meteorology","api,dav,gis,aws","hourly,daily,monthly,annual,climatology","The ratio of vapor pressure to the saturation vapor pressure with respect to a plane surface of pure water, expressed in percent.","Near-Surface Relative Humidity,Ambient Relative Humidity,Screen-Level Relative Humidity,Outdoor Relative Humidity","Near-Surface Relative Humidity,Ambient Relative Humidity,Screen-Level Relative Humidity,Outdoor Relative Humidity,Humidity/Precipitation",
WS2M,Wind Speed at 2 Meters,"official,nrt,meteorology,warning","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The average of wind speed at 2 meters above the surface of the earth.,"Near-Surface Wind Speed,Wind Speed at 2m","Near-Surface Wind Speed,Wind Speed at 2m,Parameters for Solar Cooking,Wind/Pressure","Wind speed is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
T2MDEW,Dew/Frost Point at 2 Meters,"official,nrt,meteorology","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The dew/frost point temperature at 2 meters above the surface of the earth.,"Dewpoint Temperature,Dew Point Temperature at 2 Meters,Near-Surface Dewpoint","Dewpoint Temperature,Dew Point Temperature at 2 Meters,Near-Surface Dewpoint,Temperatures,Temperature/Thermal IR Flux",
T2M_MAX,Temperature at 2 Meters Maximum,"official,nrt,meteorology","api,dav,aws","daily,monthly,annual,climatology",The maximum hourly air (dry bulb) temperature at 2 meters above the surface of the earth in the period of interest.,"Maximum Dry Bulb Temperature at 2 Meters,Maximum Ambient Temperature,Daily Maximum Temperature,High Temperature,Peak Air Temperature","Maximum Dry Bulb Temperature at 2 Meters,Maximum Ambient Temperature,Daily Maximum Temperature,High Temperature,Peak Air Temperature,Temperatures,Temperature/Thermal IR Flux",
T2M_MIN,Temperature at 2 Meters Minimum,"official,nrt,meteorology","api,dav,aws","daily,monthly,annual,climatology",The minimum hourly air (dry bulb) temperature at 2 meters above the surface of the earth in the period of interest.,"Minimum Dry Bulb Temperature at 2 Meters,Minimum Ambient Temperature,Daily Minimum Temperature,Low Temperature","Minimum Dry Bulb Temperature at 2 Meters,Minimum Ambient Temperature,Daily Minimum Temperature,Low Temperature,Temperatures,Temperature/Thermal IR Flux",
PS,Surface Pressure,"official,nrt,meteorology","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The atmospheric pressure at the surface of the earth.,"Station Pressure,Atmospheric Pressure at Surface,Barometric Pressure,Surface Barometric Pressure","Station Pressure,Atmospheric Pressure at Surface,Barometric Pressure,Surface Barometric Pressure,Wind/Pressure",
T2MWET,Wet Bulb Temperature at 2 Meters,"official,nrt,meteorology","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The adiabatic saturation temperature which can be measured by a thermometer covered in a water-soaked cloth over which air is passed at 2 meters above the surface of the earth.,"Wet Bulb Temperature,Adiabatic Saturation Temperature","Wet Bulb Temperature,Adiabatic Saturation Temperature,Temperatures,Temperature/Thermal IR Flux",
WS50M,Wind Speed at 50 Meters,"official,nrt,meteorology,warning","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The average of wind speed at 50 meters above the surface of the earth.,"Hub-Height Wind Speed,50-Meter Wind Speed,Wind Turbine Level Wind Speed","Hub-Height Wind Speed,50-Meter Wind Speed,Wind Turbine Level Wind Speed,Wind/Pressure","Wind speed is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
ALLSKY_SFC_LW_DWN,All Sky Surface Longwave Downward Irradiance,"official,nrt,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The downward thermal infrared irradiance under all sky conditions reaching a horizontal plane at the surface of the earth. Also known as Horizontal Infrared Radiation Intensity from the Sky.,"Downwelling Longwave Radiation (DLR),Thermal Infrared Downwelling,Downward Terrestrial Radiation","Downwelling Longwave Radiation (DLR),Thermal Infrared Downwelling,Downward Terrestrial Radiation,Solar Fluxes and Related,Temperature/Thermal IR Flux",
WD50M,Wind Direction at 50 Meters,"official,nrt,meteorology,warning","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The average of the wind direction at 50 meters above the surface of the earth.,"Hub-Height Wind Direction,50-Meter Wind Direction,Upper-Level Wind Direction","Hub-Height Wind Direction,50-Meter Wind Direction,Upper-Level Wind Direction,Wind/Pressure","Wind direction is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
WD2M,Wind Direction at 2 Meters,"official,nrt,meteorology,warning","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The average of the wind direction at 2 meters above the surface of the earth.,"Wind Direction at 2m,Near-Surface Wind Direction,Low-Level Wind Bearing","Wind Direction at 2m,Near-Surface Wind Direction,Low-Level Wind Bearing,Wind/Pressure","Wind direction is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
ALLSKY_SFC_SW_DIFF,All Sky Surface Shortwave Diffuse Irradiance,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The diffuse (scattered from original direct path by molecules or particles) solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,"Diffuse Horizontal Irradiance (DHI),Diffuse Sky Radiation,Diffuse Solar Radiation,Scattered Solar Radiation","Diffuse Horizontal Irradiance (DHI),Diffuse Sky Radiation,Diffuse Solar Radiation,Scattered Solar Radiation,Solar,Parameters for Tilted PV Panels,Solar Fluxes and Related",
ALLSKY_SFC_SW_DNI,All Sky Surface Shortwave Downward Direct Normal Irradiance,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The direct solar irradiance incident to a horizontal plane normal (perpendicular) to the direction of the sun's position under all sky conditions.,"Direct Normal Irradiance (DNI),Beam Radiation,Beam Normal Irradiance,Direct Beam Irradiance,Pyrheliometer Irradiance,Direct Solar Radiation","Direct Normal Irradiance (DNI),Beam Radiation,Beam Normal Irradiance,Direct Beam Irradiance,Pyrheliometer Irradiance,Direct Solar Radiation,Solar,Parameters for Tilted PV Panels,Solar Fluxes and Related",
ALLSKY_SRF_ALB,All Sky Surface Albedo,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The all sky rate of reflectivity of the earth's surface; the ratio of the solar energy reflected by the surface of the earth compared to the total solar energy incident reaching the surface of the earth.,"Surface Reflectance,Broadband Albedo,Shortwave Albedo","Surface Reflectance,Broadband Albedo,Shortwave Albedo,Parameters for Tilted PV Panels,Solar Fluxes and Related",
CLOUD_AMT,Cloud Amount,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The average percent of cloud amount during the temporal period.,"Cloud Cover,Cloud Fraction,Total Cloud Cover,Sky Cover,Cloudiness","Cloud Cover,Cloud Fraction,Total Cloud Cover,Sky Cover,Cloudiness,Solar Fluxes and Related,Diurnal Cloud Amounts",
PRECTOTCORR,Precipitation Corrected,"official,nrt,meteorology","api,dav,aws","hourly,daily,monthly,annual,climatology",The average MERRA-2 bias corrected total precipitation at the surface of the earth.,"Bias-Corrected Precipitation,Adjusted Total Precipitation,Gauge-Corrected Precipitation,Corrected Rainfall","Bias-Corrected Precipitation,Adjusted Total Precipitation,Gauge-Corrected Precipitation,Corrected Rainfall,Humidity/Precipitation",
TOA_SW_DWN,Top-Of-Atmosphere Shortwave Downward Irradiance,"official,nrt,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The total solar irradiance incident (direct plus diffuse) on a horizontal plane at the top of the atmosphere (extraterrestrial radiation).,"Total Solar Irradiance (TSI),Incoming Solar Insulation,Extraterrestrial Irradiance,Solar Constant (historical),Top-of-Atmosphere Insolation,Extraterrestrial Horizontal Radiation","Total Solar Irradiance (TSI),Incoming Solar Insulation,Extraterrestrial Irradiance,Solar Constant (historical),Top-of-Atmosphere Insolation,Extraterrestrial Horizontal Radiation,Solar Fluxes and Related",
WS10M,Wind Speed at 10 Meters,"official,nrt,meteorology,warning","api,dav,aws","hourly,daily,monthly,annual,climatology",The average of wind speed at 10 meters above the surface of the earth.,"Standard Anemometer Wind Speed,10-Meter Wind Speed,Surface Wind Speed,WMO Standard Wind Speed","Standard Anemometer Wind Speed,10-Meter Wind Speed,Surface Wind Speed,WMO Standard Wind Speed,Wind/Pressure","Wind speed is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
GWETPROF,Profile Soil Moisture,"official,nrt,meteorology","api,dav,aws","hourly,daily,monthly,annual,climatology",The amount of water and water vapor present in the soil. Profile indicates the layer from the surface down to the bedrock. Values range from 0 for completely dry conditions to 1 for completely saturated soil.,"Full Column Soil Wetness,Soil Column Saturation Fraction,Soil Profile Wetness Index,Total Column Soil Moisture Fraction","Full Column Soil Wetness,Soil Column Saturation Fraction,Soil Profile Wetness Index,Total Column Soil Moisture Fraction,Soil Properties",
TS,Earth Skin Temperature,"official,nrt,meteorology","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The average temperature at the earth's surface.,"Land Surface Temperature,Skin Temperature,Radiometric Surface Temperature,Surface Radiative Temperature","Land Surface Temperature,Skin Temperature,Radiometric Surface Temperature,Surface Radiative Temperature,Temperatures,Temperature/Thermal IR Flux",
